;gaugeId;issue_date;issue_time;fc_date;fc_value
213;hybas_1120661040;2024-11-18;2024-11-18 11:09:48.199761+00:00;2024-11-22;0.49294164776802063
214;hybas_1120661040;2024-11-18;2024-11-18 11:09:48.199761+00:00;2024-11-23;0.4972881078720093
215;hybas_1120661040;2024-11-18;2024-11-18 11:09:48.199761+00:00;2024-11-24;0.49119389057159424
216;hybas_1120758950;2024-11-10;2024-11-10 13:42:48.491074+00:00;2024-11-09;162.10568237304688
217;hybas_1120758950;2024-11-10;2024-11-10 13:42:48.491074+00:00;2024-11-10;147.68011474609375
218;hybas_1120758950;2024-11-10;2024-11-10 13:42:48.491074+00:00;2024-11-11;137.71487426757812
219;hybas_1120758950;2024-11-10;2024-11-10 13:42:48.491074+00:00;2024-11-12;128.59751892089844
220;hybas_1120758950;2024-11-10;2024-11-10 13:42:48.491074+00:00;2024-11-13;119.49346160888672
221;hybas_1120758950;2024-11-10;2024-11-10 13:42:48.491074+00:00;2024-11-14;109.02234649658203
222;hybas_1120758950;2024-11-10;2024-11-10 13:42:48.491074+00:00;2024-11-15;101.79207611083984
223;hybas_1120758950;2024-11-10;2024-11-10 13:42:48.491074+00:00;2024-11-16;95.814208984375
224;hybas_1120758950;2024-11-11;2024-11-11 13:59:03.899759+00:00;2024-11-10;149.86865234375
225;hybas_1120758950;2024-11-11;2024-11-11 13:59:03.899759+00:00;2024-11-11;138.619140625
226;hybas_1120758950;2024-11-11;2024-11-11 13:59:03.899759+00:00;2024-11-12;128.4985809326172
227;hybas_1120758950;2024-11-11;2024-11-11 13:59:03.899759+00:00;2024-11-13;120.32917785644531
228;hybas_1120758950;2024-11-11;2024-11-11 13:59:03.899759+00:00;2024-11-14;110.3336181640625
229;hybas_1120758950;2024-11-11;2024-11-11 13:59:03.899759+00:00;2024-11-15;102.68671417236328
230;hybas_1120758950;2024-11-11;2024-11-11 13:59:03.899759+00:00;2024-11-16;95.79283142089844
231;hybas_1120758950;2024-11-11;2024-11-11 13:59:03.899759+00:00;2024-11-17;91.26817321777344
232;hybas_1120758950;2024-11-12;2024-11-12 13:46:55.063732+00:00;2024-11-11;139.6524200439453
233;hybas_1120758950;2024-11-12;2024-11-12 13:46:55.063732+00:00;2024-11-12;128.85330200195312
234;hybas_1120758950;2024-11-12;2024-11-12 13:46:55.063732+00:00;2024-11-13;119.8089599609375
235;hybas_1120758950;2024-11-12;2024-11-12 13:46:55.063732+00:00;2024-11-14;111.22550201416016
236;hybas_1120758950;2024-11-12;2024-11-12 13:46:55.063732+00:00;2024-11-15;103.10453796386719
237;hybas_1120758950;2024-11-12;2024-11-12 13:46:55.063732+00:00;2024-11-16;95.77840423583984
238;hybas_1120758950;2024-11-12;2024-11-12 13:46:55.063732+00:00;2024-11-17;91.3092041015625
239;hybas_1120758950;2024-11-12;2024-11-12 13:46:55.063732+00:00;2024-11-18;86.7270736694336
240;hybas_1120758950;2024-11-13;2024-11-13 13:35:30.894311+00:00;2024-11-12;129.30203247070312
241;hybas_1120758950;2024-11-13;2024-11-13 13:35:30.894311+00:00;2024-11-13;119.93514251708984
242;hybas_1120758950;2024-11-13;2024-11-13 13:35:30.894311+00:00;2024-11-14;110.09624481201172
243;hybas_1120758950;2024-11-13;2024-11-13 13:35:30.894311+00:00;2024-11-15;103.77165985107422
244;hybas_1120758950;2024-11-13;2024-11-13 13:35:30.894311+00:00;2024-11-16;95.95674896240234
245;hybas_1120758950;2024-11-13;2024-11-13 13:35:30.894311+00:00;2024-11-17;91.38238525390625
246;hybas_1120758950;2024-11-13;2024-11-13 13:35:30.894311+00:00;2024-11-18;86.82878875732422
247;hybas_1120758950;2024-11-13;2024-11-13 13:35:30.894311+00:00;2024-11-19;82.22613525390625
248;hybas_1120758950;2024-11-14;2024-11-14 13:53:53.820472+00:00;2024-11-13;120.82659149169922
249;hybas_1120758950;2024-11-14;2024-11-14 13:53:53.820472+00:00;2024-11-14;110.97138214111328
250;hybas_1120758950;2024-11-14;2024-11-14 13:53:53.820472+00:00;2024-11-15;103.56492614746094
251;hybas_1120758950;2024-11-14;2024-11-14 13:53:53.820472+00:00;2024-11-16;97.30516052246094
252;hybas_1120758950;2024-11-14;2024-11-14 13:53:53.820472+00:00;2024-11-17;91.76948547363281
253;hybas_1120758950;2024-11-14;2024-11-14 13:53:53.820472+00:00;2024-11-18;87.1626968383789
254;hybas_1120758950;2024-11-14;2024-11-14 13:53:53.820472+00:00;2024-11-19;82.47401428222656
255;hybas_1120758950;2024-11-14;2024-11-14 13:53:53.820472+00:00;2024-11-20;77.99919891357422
256;hybas_1120758950;2024-11-15;2024-11-15 13:48:54.775962+00:00;2024-11-14;111.90640258789062
257;hybas_1120758950;2024-11-15;2024-11-15 13:48:54.775962+00:00;2024-11-15;104.73676300048828
