,flood_start,flood_end,Cercle,duration
627,2009-05-09,2009-05-09,KITA,1
644,2008-08-19,2008-08-19,BLA,1
645,2008-08-18,2008-08-19,KAYES,2
646,2008-08-18,2008-08-18,GAO,1
647,2008-08-02,2008-08-02,SEGOU,1
648,2008-07-25,2008-07-25,DIRE,1
649,2008-07-19,2008-07-19,BLA,1
650,2008-07-19,2008-07-19,MACINA,1
651,2008-06-25,2008-06-25,MOPTI,1
652,2008-06-17,2008-06-17,KADIOLO,1
653,2007-09-10,2007-09-10,DISTRICT,1
654,2007-09-08,2007-09-08,BOUGOUNI,1
655,2007-09-06,2007-09-06,KADIOLO,1
656,2007-09-05,2007-09-05,SIKASSO,1
657,2007-08-31,2007-08-31,KANGABA,1
658,2007-08-31,2007-08-31,DIOILA,1
659,2007-08-31,2007-08-31,BANAMBA,1
660,2007-08-31,2007-08-31,DIOILA,1
661,2007-08-31,2007-08-31,BANAMBA,1
662,2007-08-30,2007-08-30,KAYES,1
663,2007-08-28,2007-08-28,BARAOUELI,1
664,2007-08-27,2007-08-27,KITA,1
665,2007-08-27,2007-08-27,KITA,1
666,2007-08-27,2007-08-27,KITA,1
667,2007-08-27,2007-08-27,KITA,1
668,2007-08-27,2007-08-27,KITA,1
669,2007-08-27,2007-08-27,KITA,1
670,2007-08-27,2007-08-27,KITA,1
671,2007-08-27,2007-08-27,KITA,1
672,2007-08-27,2007-08-27,KITA,1
673,2007-08-24,2007-08-24,KATI,1
674,2007-08-24,2007-08-24,YOROSSO,1
675,2007-08-22,2007-08-22,SIKASSO,1
676,2007-08-15,2007-08-15,KAYES,1
